minuto,jugador,player_id,equipo,resultado,xG,xGOT,situacion,parte_cuerpo,x,y,z,goal_x,goal_y,goal_z
42,Pedro Benito,1146760,Cultural Leonesa,block,0.3214,,regular,left-foot,8,53,0,0.0,50.0,20.0
45,Javi Areso,966860,Mérida AD,save,0.03099,0.06309,regular,right-foot,21,70,0,0.0,47.1,7.6
45,Álex Cardero,1085265,Cultural Leonesa,save,0.002587,0.01906,throw-in-set-piece,right-foot,22,59,0,0.0,48.7,16.4
54,Jaime Vázquez,1605665,Cultural Leonesa,save,0.005796,0.06459,regular,right-foot,15,74,0,0.0,51.7,27.1
55,Bicho,318615,Cultural Leonesa,block,0.03636,,corner,right-foot,20,45,0,0.0,50.0,20.0
55,Pedro Benito,1146760,Cultural Leonesa,save,0.09609,0.06178,regular,head,10,49,0,0.0,49.0,18.7
56,Dani Queipo,1160061,Cultural Leonesa,block,0.08981,,regular,right-foot,12,31,0,0.0,50.0,20.0
59,Álex Cardero,1085265,Cultural Leonesa,miss,0.001386,,corner,right-foot,27,60,0,0.0,58.1,50.7
64,Pedro Benito,1146760,Cultural Leonesa,block,0.07931,,regular,left-foot,13,69,0,0.0,50.0,20.0
64,Pedro Benito,1146760,Cultural Leonesa,goal,0.1303,0.6998,throw-in-set-piece,head,7,50,0,0.0,46.1,16.5
68,Sigurdur Hallsson,996859,Mérida AD,miss,0.3004,,corner,head,3,45,0,0.0,57.3,45.2
69,Pedro Benito,1146760,Cultural Leonesa,save,0.09331,0.3169,regular,left-foot,6,69,0,0.0,48.3,27.6
71,Sigurdur Hallsson,996859,Mérida AD,save,0.004341,0.0421,throw-in-set-piece,right-foot,17,59,0,0.0,51.7,1.4
80,Álex Cardero,1085265,Cultural Leonesa,miss,0.01575,,corner,left-foot,19,62,0,0.0,56.8,47.2
84,Raúl Beneit,1084755,Mérida AD,miss,0.06847,,regular,head,10,49,0,0.0,59.2,42.9
89,Dani Queipo,1160061,Cultural Leonesa,block,0.01617,,regular,right-foot,18,62,0,0.0,50.0,20.0
90,Ángel Algobia,966219,Cultural Leonesa,miss,0.02398,,regular,right-foot,24,32,0,0.0,41.8,55.6
